Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2018,M,65-74,Black Non Hispanic,CLRD,80
2018,M,65-74,Black Non Hispanic,Cerebrovascular Disease,80
2018,M,65-74,Black Non Hispanic,Malignant Neoplasms,615
2018,M,65-74,Black Non Hispanic,All Other Causes,619
2018,M,65-74,Black Non Hispanic,Diseases of the Heart,707
2018,M,65-74,Black Non Hispanic,Total,2276
2018,M,65-74,Hispanic,AIDS,15
2018,M,65-74,Hispanic,Diabetes Mellitus,18
2018,M,65-74,Hispanic,Pneumonia,50
2018,M,65-74,Hispanic,Accidents,54
2018,M,65-74,Hispanic,CLRD,54
2018,M,65-74,Hispanic,Cerebrovascular Disease,55
2018,M,65-74,Hispanic,Diseases of the Heart,396
2018,M,65-74,Hispanic,All Other Causes,399
2018,M,65-74,Hispanic,Malignant Neoplasms,441
2018,M,65-74,Hispanic,Total,1482
2018,M,65-74,Not Stated,AIDS,1
2018,M,65-74,Not Stated,Diabetes Mellitus,5
2018,M,65-74,Not Stated,Accidents,10
2018,M,65-74,Not Stated,CLRD,11
2018,M,65-74,Not Stated,Cerebrovascular Disease,22
2018,M,65-74,Not Stated,Pneumonia,24
2018,M,65-74,Not Stated,Malignant Neoplasms,99
2018,M,65-74,Not Stated,All Other Causes,109
2018,M,65-74,Not Stated,Diseases of the Heart,133
2018,M,65-74,Not Stated,Total,414
2018,M,65-74,Other Non Hispanic,Diabetes Mellitus,7
2018,M,65-74,Other Non Hispanic,CLRD,15
2018,M,65-74,Other Non Hispanic,Accidents,18
2018,M,65-74,Other Non Hispanic,Pneumonia,19
2018,M,65-74,Other Non Hispanic,Cerebrovascular Disease,24
2018,M,65-74,Other Non Hispanic,Diseases of the Heart,140
2018,M,65-74,Other Non Hispanic,All Other Causes,165
2018,M,65-74,Other Non Hispanic,Malignant Neoplasms,229
2018,M,65-74,Other Non Hispanic,Total,617
2018,M,65-74,White Non Hispanic,AIDS,11
2018,M,65-74,White Non Hispanic,Diabetes Mellitus,90
2018,M,65-74,White Non Hispanic,Pneumonia,228
2018,M,65-74,White Non Hispanic,Accidents,294
2018,M,65-74,White Non Hispanic,Cerebrovascular Disease,330
2018,M,65-74,White Non Hispanic,CLRD,666
2018,M,65-74,White Non Hispanic,All Other Causes,2929
2018,M,65-74,White Non Hispanic,Diseases of the Heart,3003
2018,M,65-74,White Non Hispanic,Malignant Neoplasms,3298
2018,M,65-74,White Non Hispanic,Total,10849
2018,M,75-84,Black Non Hispanic,AIDS,12
2018,M,75-84,Black Non Hispanic,Diabetes Mellitus,23
2018,M,75-84,Black Non Hispanic,Accidents,34
2018,M,75-84,Black Non Hispanic,CLRD,79
2018,M,75-84,Black Non Hispanic,Pneumonia,79
2018,M,75-84,Black Non Hispanic,Cerebrovascular Disease,95
2018,M,75-84,Black Non Hispanic,Malignant Neoplasms,501
2018,M,75-84,Black Non Hispanic,All Other Causes,615
2018,M,75-84,Black Non Hispanic,Diseases of the Heart,770
2018,M,75-84,Black Non Hispanic,Total,2208
2018,M,75-84,Hispanic,AIDS,4
2018,M,75-84,Hispanic,Diabetes Mellitus,19
2018,M,75-84,Hispanic,Accidents,32
2018,M,75-84,Hispanic,CLRD,50
2018,M,75-84,Hispanic,Pneumonia,62
2018,M,75-84,Hispanic,Cerebrovascular Disease,83
2018,M,75-84,Hispanic,Malignant Neoplasms,365
2018,M,75-84,Hispanic,All Other Causes,463
2018,M,75-84,Hispanic,Diseases of the Heart,540
2018,M,75-84,Hispanic,Total,1618
2018,M,75-84,Not Stated,Diabetes Mellitus,5
2018,M,75-84,Not Stated,Accidents,7
2018,M,75-84,Not Stated,Pneumonia,13
2018,M,75-84,Not Stated,CLRD,15
2018,M,75-84,Not Stated,Cerebrovascular Disease,22
2018,M,75-84,Not Stated,Malignant Neoplasms,74
2018,M,75-84,Not Stated,All Other Causes,85
2018,M,75-84,Not Stated,Diseases of the Heart,132
2018,M,75-84,Not Stated,Total,353
2018,M,75-84,Other Non Hispanic,AIDS,1
2018,M,75-84,Other Non Hispanic,Diabetes Mellitus,6
2018,M,75-84,Other Non Hispanic,Accidents,30
2018,M,75-84,Other Non Hispanic,CLRD,35
2018,M,75-84,Other Non Hispanic,Cerebrovascular Disease,37
2018,M,75-84,Other Non Hispanic,Pneumonia,38
2018,M,75-84,Other Non Hispanic,All Other Causes,191
2018,M,75-84,Other Non Hispanic,Malignant Neoplasms,204
2018,M,75-84,Other Non Hispanic,Diseases of the Heart,255
2018,M,75-84,Other Non Hispanic,Total,797
2018,M,75-84,White Non Hispanic,AIDS,4
2018,M,75-84,White Non Hispanic,Diabetes Mellitus,107
2018,M,75-84,White Non Hispanic,Accidents,300
2018,M,75-84,White Non Hispanic,Pneumonia,339
2018,M,75-84,White Non Hispanic,Cerebrovascular Disease,503
2018,M,75-84,White Non Hispanic,CLRD,763
2018,M,75-84,White Non Hispanic,Malignant Neoplasms,3393
2018,M,75-84,White Non Hispanic,Diseases of the Heart,3895
2018,M,75-84,White Non Hispanic,All Other Causes,4143
2018,M,75-84,White Non Hispanic,Total,13447
2018,M,85+,Black Non Hispanic,AIDS,2
2018,M,85+,Black Non Hispanic,Diabetes Mellitus,10
2018,M,85+,Black Non Hispanic,Accidents,18
2018,M,85+,Black Non Hispanic,CLRD,35
2018,M,85+,Black Non Hispanic,Cerebrovascular Disease,58
2018,M,85+,Black Non Hispanic,Pneumonia,65
2018,M,85+,Black Non Hispanic,Malignant Neoplasms,233
2018,M,85+,Black Non Hispanic,All Other Causes,524
2018,M,85+,Black Non Hispanic,Diseases of the Heart,550
2018,M,85+,Black Non Hispanic,Total,1495
2018,M,85+,Hispanic,Diabetes Mellitus,15
2018,M,85+,Hispanic,Accidents,23
2018,M,85+,Hispanic,Cerebrovascular Disease,38
2018,M,85+,Hispanic,CLRD,41
2018,M,85+,Hispanic,Pneumonia,54
2018,M,85+,Hispanic,Malignant Neoplasms,197
2018,M,85+,Hispanic,Diseases of the Heart,421
2018,M,85+,Hispanic,All Other Causes,430
2018,M,85+,Hispanic,Total,1219
2018,M,85+,Not Stated,Diabetes Mellitus,2
2018,M,85+,Not Stated,CLRD,7
2018,M,85+,Not Stated,Cerebrovascular Disease,7
2018,M,85+,Not Stated,Pneumonia,9
2018,M,85+,Not Stated,Accidents,11
2018,M,85+,Not Stated,Malignant Neoplasms,26
2018,M,85+,Not Stated,All Other Causes,78
2018,M,85+,Not Stated,Diseases of the Heart,110
2018,M,85+,Not Stated,Total,250
2018,M,85+,Other Non Hispanic,Diabetes Mellitus,2
2018,M,85+,Other Non Hispanic,Accidents,23
2018,M,85+,Other Non Hispanic,Cerebrovascular Disease,31
2018,M,85+,Other Non Hispanic,CLRD,40
2018,M,85+,Other Non Hispanic,Pneumonia,47
2018,M,85+,Other Non Hispanic,Malignant Neoplasms,134
2018,M,85+,Other Non Hispanic,All Other Causes,263
2018,M,85+,Other Non Hispanic,Diseases of the Heart,270
2018,M,85+,Other Non Hispanic,Total,810
2018,M,85+,White Non Hispanic,AIDS,4
2018,M,85+,White Non Hispanic,Diabetes Mellitus,89
2018,M,85+,White Non Hispanic,Accidents,391
2018,M,85+,White Non Hispanic,Pneumonia,692
2018,M,85+,White Non Hispanic,Cerebrovascular Disease,711
2018,M,85+,White Non Hispanic,CLRD,815
2018,M,85+,White Non Hispanic,Malignant Neoplasms,2548
2018,M,85+,White Non Hispanic,All Other Causes,5986
2018,M,85+,White Non Hispanic,Diseases of the Heart,6239
2018,M,85+,White Non Hispanic,Total,17475
2018,M,<1,Black Non Hispanic,Diseases of the Heart,3
2018,M,<1,Black Non Hispanic,Accidents,5
2018,M,<1,Black Non Hispanic,Pneumonia,7
2018,M,<1,Black Non Hispanic,All Other Causes,154
2018,M,<1,Black Non Hispanic,Total,169
2018,M,<1,Hispanic,Malignant Neoplasms,1
2018,M,<1,Hispanic,Cerebrovascular Disease,2
2018,M,<1,Hispanic,Diseases of the Heart,2
2018,M,<1,Hispanic,Accidents,4
2018,M,<1,Hispanic,All Other Causes,90
2018,M,<1,Hispanic,Total,99
2018,M,<1,Not Stated,Pneumonia,1
2018,M,<1,Not Stated,All Other Causes,49
2018,M,<1,Not Stated,Total,50
2018,M,<1,Other Non Hispanic,Accidents,1
2018,M,<1,Other Non Hispanic,Cerebrovascular Disease,1
2018,M,<1,Other Non Hispanic,Diseases of the Heart,1
2018,M,<1,Other Non Hispanic,All Other Causes,17
2018,M,<1,Other Non Hispanic,Total,20
2018,M,<1,White Non Hispanic,Diseases of the Heart,2
2018,M,<1,White Non Hispanic,Malignant Neoplasms,2
2018,M,<1,White Non Hispanic,Accidents,8
2018,M,<1,White Non Hispanic,All Other Causes,194
2018,M,<1,White Non Hispanic,Total,206
2019,F,1-9,Black Non Hispanic,Cerebrovascular Disease,1
2019,F,1-9,Black Non Hispanic,CLRD,3
2019,F,1-9,Black Non Hispanic,Malignant Neoplasms,4
2019,F,1-9,Black Non Hispanic,Accidents,6
2019,F,1-9,Black Non Hispanic,All Other Causes,17
2019,F,1-9,Black Non Hispanic,Total,31
2019,F,1-9,Hispanic,Malignant Neoplasms,4
2019,F,1-9,Hispanic,Accidents,9
2019,F,1-9,Hispanic,All Other Causes,21
2019,F,1-9,Hispanic,Total,34
2019,F,1-9,Not Stated,Accidents,1
2019,F,1-9,Not Stated,All Other Causes,5
2019,F,1-9,Not Stated,Total,6
2019,F,1-9,Other Non Hispanic,Malignant Neoplasms,2
2019,F,1-9,Other Non Hispanic,Accidents,4
2019,F,1-9,Other Non Hispanic,All Other Causes,5
2019,F,1-9,Other Non Hispanic,Total,11
2019,F,1-9,White Non Hispanic,CLRD,1
2019,F,1-9,White Non Hispanic,Pneumonia,2
2019,F,1-9,White Non Hispanic,Accidents,8
2019,F,1-9,White Non Hispanic,Malignant Neoplasms,11
2019,F,1-9,White Non Hispanic,All Other Causes,27
2019,F,1-9,White Non Hispanic,Total,49
2019,F,10-19,Black Non Hispanic,CLRD,1
2019,F,10-19,Black Non Hispanic,Diseases of the Heart,1
2019,F,10-19,Black Non Hispanic,Cerebrovascular Disease,2
2019,F,10-19,Black Non Hispanic,Malignant Neoplasms,2
2019,F,10-19,Black Non Hispanic,Accidents,4
2019,F,10-19,Black Non Hispanic,All Other Causes,27
2019,F,10-19,Black Non Hispanic,Total,37
2019,F,10-19,Hispanic,CLRD,1
2019,F,10-19,Hispanic,Accidents,2
2019,F,10-19,Hispanic,Cerebrovascular Disease,2
2019,F,10-19,Hispanic,Malignant Neoplasms,5
2019,F,10-19,Hispanic,All Other Causes,19
2019,F,10-19,Hispanic,Total,29
2019,F,10-19,Not Stated,Malignant Neoplasms,1
2019,F,10-19,Not Stated,All Other Causes,6
2019,F,10-19,Not Stated,Total,7
2019,F,10-19,Other Non Hispanic,Accidents,2
2019,F,10-19,Other Non Hispanic,Malignant Neoplasms,3
2019,F,10-19,Other Non Hispanic,All Other Causes,4
2019,F,10-19,Other Non Hispanic,Total,9
2019,F,10-19,White Non Hispanic,Diseases of the Heart,1
2019,F,10-19,White Non Hispanic,Pneumonia,1
2019,F,10-19,White Non Hispanic,CLRD,2
2019,F,10-19,White Non Hispanic,Malignant Neoplasms,7
2019,F,10-19,White Non Hispanic,Accidents,22
2019,F,10-19,White Non Hispanic,All Other Causes,37
2019,F,10-19,White Non Hispanic,Total,70
2019,F,20-24,Black Non Hispanic,CLRD,2
2019,F,20-24,Black Non Hispanic,Diseases of the Heart,2
2019,F,20-24,Black Non Hispanic,Malignant Neoplasms,2
2019,F,20-24,Black Non Hispanic,Accidents,12
2019,F,20-24,Black Non Hispanic,All Other Causes,30
2019,F,20-24,Black Non Hispanic,Total,48
2019,F,20-24,Hispanic,Malignant Neoplasms,7
2019,F,20-24,Hispanic,Accidents,13
2019,F,20-24,Hispanic,All Other Causes,31
2019,F,20-24,Hispanic,Total,51
2019,F,20-24,Not Stated,Accidents,1
2019,F,20-24,Not Stated,All Other Causes,1
2019,F,20-24,Not Stated,Malignant Neoplasms,2
2019,F,20-24,Not Stated,Total,4
2019,F,20-24,Other Non Hispanic,Accidents,1
2019,F,20-24,Other Non Hispanic,Cerebrovascular Disease,1
2019,F,20-24,Other Non Hispanic,Malignant Neoplasms,1
2019,F,20-24,Other Non Hispanic,All Other Causes,6
2019,F,20-24,Other Non Hispanic,Total,9
2019,F,20-24,White Non Hispanic,CLRD,1
2019,F,20-24,White Non Hispanic,Diseases of the Heart,5
2019,F,20-24,White Non Hispanic,Malignant Neoplasms,8
2019,F,20-24,White Non Hispanic,All Other Causes,56
2019,F,20-24,White Non Hispanic,Accidents,59
2019,F,20-24,White Non Hispanic,Total,129
2019,F,25-34,Black Non Hispanic,Diabetes Mellitus,2
2019,F,25-34,Black Non Hispanic,Pneumonia,2
2019,F,25-34,Black Non Hispanic,CLRD,5
2019,F,25-34,Black Non Hispanic,AIDS,6
2019,F,25-34,Black Non Hispanic,Malignant Neoplasms,16
2019,F,25-34,Black Non Hispanic,Diseases of the Heart,21
2019,F,25-34,Black Non Hispanic,Accidents,30
2019,F,25-34,Black Non Hispanic,All Other Causes,91
2019,F,25-34,Black Non Hispanic,Total,173
2019,F,25-34,Hispanic,Pneumonia,2
2019,F,25-34,Hispanic,CLRD,3
2019,F,25-34,Hispanic,Cerebrovascular Disease,4
2019,F,25-34,Hispanic,Diseases of the Heart,11
2019,F,25-34,Hispanic,Malignant Neoplasms,29
2019,F,25-34,Hispanic,Accidents,36
2019,F,25-34,Hispanic,All Other Causes,45
2019,F,25-34,Hispanic,Total,130
2019,F,25-34,Not Stated,Diseases of the Heart,1
2019,F,25-34,Not Stated,Accidents,2
2019,F,25-34,Not Stated,Malignant Neoplasms,3
2019,F,25-34,Not Stated,All Other Causes,13
2019,F,25-34,Not Stated,Total,19
2019,F,25-34,Other Non Hispanic,Diseases of the Heart,1
2019,F,25-34,Other Non Hispanic,Cerebrovascular Disease,2
2019,F,25-34,Other Non Hispanic,Accidents,15
2019,F,25-34,Other Non Hispanic,Malignant Neoplasms,15
2019,F,25-34,Other Non Hispanic,All Other Causes,23
2019,F,25-34,Other Non Hispanic,Total,56
2019,F,25-34,White Non Hispanic,Diabetes Mellitus,1
2019,F,25-34,White Non Hispanic,CLRD,3
2019,F,25-34,White Non Hispanic,Pneumonia,3
2019,F,25-34,White Non Hispanic,Cerebrovascular Disease,5
2019,F,25-34,White Non Hispanic,Diseases of the Heart,14
2019,F,25-34,White Non Hispanic,Malignant Neoplasms,48
2019,F,25-34,White Non Hispanic,Accidents,177
2019,F,25-34,White Non Hispanic,All Other Causes,182
2019,F,25-34,White Non Hispanic,Total,433
2019,F,35-44,Black Non Hispanic,CLRD,4
2019,F,35-44,Black Non Hispanic,Pneumonia,4
2019,F,35-44,Black Non Hispanic,Cerebrovascular Disease,5
2019,F,35-44,Black Non Hispanic,AIDS,11
2019,F,35-44,Black Non Hispanic,Accidents,29
2019,F,35-44,Black Non Hispanic,Diseases of the Heart,38
2019,F,35-44,Black Non Hispanic,Malignant Neoplasms,74
2019,F,35-44,Black Non Hispanic,All Other Causes,126
2019,F,35-44,Black Non Hispanic,Total,291
2019,F,35-44,Hispanic,Diabetes Mellitus,2
2019,F,35-44,Hispanic,Pneumonia,2
2019,F,35-44,Hispanic,Cerebrovascular Disease,4
2019,F,35-44,Hispanic,CLRD,7
2019,F,35-44,Hispanic,Diseases of the Heart,27
2019,F,35-44,Hispanic,Accidents,34
2019,F,35-44,Hispanic,Malignant Neoplasms,59
2019,F,35-44,Hispanic,All Other Causes,65
2019,F,35-44,Hispanic,Total,200
2019,F,35-44,Not Stated,Accidents,2
2019,F,35-44,Not Stated,Cerebrovascular Disease,3
2019,F,35-44,Not Stated,Diseases of the Heart,5
2019,F,35-44,Not Stated,Malignant Neoplasms,10
2019,F,35-44,Not Stated,All Other Causes,18
2019,F,35-44,Not Stated,Total,38
2019,F,35-44,Other Non Hispanic,Pneumonia,1
2019,F,35-44,Other Non Hispanic,Diseases of the Heart,6
2019,F,35-44,Other Non Hispanic,Accidents,7
2019,F,35-44,Other Non Hispanic,All Other Causes,16
2019,F,35-44,Other Non Hispanic,Malignant Neoplasms,26
2019,F,35-44,Other Non Hispanic,Total,56
2019,F,35-44,White Non Hispanic,AIDS,3
2019,F,35-44,White Non Hispanic,Diabetes Mellitus,6
2019,F,35-44,White Non Hispanic,Cerebrovascular Disease,7
2019,F,35-44,White Non Hispanic,CLRD,8
2019,F,35-44,White Non Hispanic,Pneumonia,9
2019,F,35-44,White Non Hispanic,Diseases of the Heart,56
2019,F,35-44,White Non Hispanic,Accidents,168
2019,F,35-44,White Non Hispanic,Malignant Neoplasms,168
2019,F,35-44,White Non Hispanic,All Other Causes,247
2019,F,35-44,White Non Hispanic,Total,672
2019,F,45-54,Black Non Hispanic,Diabetes Mellitus,9
2019,F,45-54,Black Non Hispanic,Pneumonia,14
2019,F,45-54,Black Non Hispanic,AIDS,16
2019,F,45-54,Black Non Hispanic,CLRD,20
2019,F,45-54,Black Non Hispanic,Cerebrovascular Disease,36
2019,F,45-54,Black Non Hispanic,Accidents,62
2019,F,45-54,Black Non Hispanic,Diseases of the Heart,149
2019,F,45-54,Black Non Hispanic,Malignant Neoplasms,207
2019,F,45-54,Black Non Hispanic,All Other Causes,230
2019,F,45-54,Black Non Hispanic,Total,743
2019,F,45-54,Hispanic,Diabetes Mellitus,3
2019,F,45-54,Hispanic,Pneumonia,9
2019,F,45-54,Hispanic,CLRD,10
2019,F,45-54,Hispanic,AIDS,13
2019,F,45-54,Hispanic,Cerebrovascular Disease,15
2019,F,45-54,Hispanic,Accidents,45
2019,F,45-54,Hispanic,Diseases of the Heart,65
2019,F,45-54,Hispanic,All Other Causes,110
2019,F,45-54,Hispanic,Malignant Neoplasms,151
2019,F,45-54,Hispanic,Total,421
2019,F,45-54,Not Stated,AIDS,2
2019,F,45-54,Not Stated,Accidents,3
2019,F,45-54,Not Stated,Pneumonia,3
2019,F,45-54,Not Stated,Cerebrovascular Disease,6
2019,F,45-54,Not Stated,Diseases of the Heart,17
2019,F,45-54,Not Stated,All Other Causes,31
2019,F,45-54,Not Stated,Malignant Neoplasms,37
2019,F,45-54,Not Stated,Total,99
2019,F,45-54,Other Non Hispanic,Diabetes Mellitus,1
2019,F,45-54,Other Non Hispanic,Cerebrovascular Disease,4
2019,F,45-54,Other Non Hispanic,Accidents,6
2019,F,45-54,Other Non Hispanic,Diseases of the Heart,7
2019,F,45-54,Other Non Hispanic,All Other Causes,45
2019,F,45-54,Other Non Hispanic,Malignant Neoplasms,83
2019,F,45-54,Other Non Hispanic,Total,146
2019,F,45-54,White Non Hispanic,AIDS,4
2019,F,45-54,White Non Hispanic,Diabetes Mellitus,16
2019,F,45-54,White Non Hispanic,Pneumonia,25
2019,F,45-54,White Non Hispanic,Cerebrovascular Disease,50
2019,F,45-54,White Non Hispanic,CLRD,52
2019,F,45-54,White Non Hispanic,Accidents,184
2019,F,45-54,White Non Hispanic,Diseases of the Heart,190
2019,F,45-54,White Non Hispanic,All Other Causes,548
2019,F,45-54,White Non Hispanic,Malignant Neoplasms,570
2019,F,45-54,White Non Hispanic,Total,1639
2019,F,55-64,Black Non Hispanic,Diabetes Mellitus,14
2019,F,55-64,Black Non Hispanic,AIDS,36
2019,F,55-64,Black Non Hispanic,Pneumonia,45
2019,F,55-64,Black Non Hispanic,Cerebrovascular Disease,49
2019,F,55-64,Black Non Hispanic,Accidents,70
2019,F,55-64,Black Non Hispanic,CLRD,81
2019,F,55-64,Black Non Hispanic,Diseases of the Heart,376
2019,F,55-64,Black Non Hispanic,All Other Causes,496
2019,F,55-64,Black Non Hispanic,Malignant Neoplasms,557
2019,F,55-64,Black Non Hispanic,Total,1724
2019,F,55-64,Hispanic,Diabetes Mellitus,9
2019,F,55-64,Hispanic,AIDS,11
2019,F,55-64,Hispanic,CLRD,19
2019,F,55-64,Hispanic,Pneumonia,21
2019,F,55-64,Hispanic,Cerebrovascular Disease,25
2019,F,55-64,Hispanic,Accidents,35
2019,F,55-64,Hispanic,Diseases of the Heart,166
2019,F,55-64,Hispanic,All Other Causes,215
2019,F,55-64,Hispanic,Malignant Neoplasms,278
2019,F,55-64,Hispanic,Total,779
2019,F,55-64,Not Stated,CLRD,1
2019,F,55-64,Not Stated,Diabetes Mellitus,1
2019,F,55-64,Not Stated,AIDS,3
2019,F,55-64,Not Stated,Pneumonia,4
2019,F,55-64,Not Stated,Accidents,5
2019,F,55-64,Not Stated,Cerebrovascular Disease,9
2019,F,55-64,Not Stated,Diseases of the Heart,38
2019,F,55-64,Not Stated,All Other Causes,51
2019,F,55-64,Not Stated,Malignant Neoplasms,80
2019,F,55-64,Not Stated,Total,192
2019,F,55-64,Other Non Hispanic,CLRD,3
2019,F,55-64,Other Non Hispanic,Diabetes Mellitus,5
2019,F,55-64,Other Non Hispanic,Pneumonia,5
2019,F,55-64,Other Non Hispanic,Accidents,8
2019,F,55-64,Other Non Hispanic,Cerebrovascular Disease,10
2019,F,55-64,Other Non Hispanic,Diseases of the Heart,31
2019,F,55-64,Other Non Hispanic,All Other Causes,58
2019,F,55-64,Other Non Hispanic,Malignant Neoplasms,123
2019,F,55-64,Other Non Hispanic,Total,243
2019,F,55-64,White Non Hispanic,AIDS,5
2019,F,55-64,White Non Hispanic,Diabetes Mellitus,31
2019,F,55-64,White Non Hispanic,Pneumonia,66
2019,F,55-64,White Non Hispanic,Cerebrovascular Disease,106
2019,F,55-64,White Non Hispanic,Accidents,192
2019,F,55-64,White Non Hispanic,CLRD,249
2019,F,55-64,White Non Hispanic,Diseases of the Heart,679
2019,F,55-64,White Non Hispanic,All Other Causes,1191
2019,F,55-64,White Non Hispanic,Malignant Neoplasms,1767
2019,F,55-64,White Non Hispanic,Total,4286
2019,F,65-74,Black Non Hispanic,AIDS,12
2019,F,65-74,Black Non Hispanic,Diabetes Mellitus,23
2019,F,65-74,Black Non Hispanic,Accidents,44
2019,F,65-74,Black Non Hispanic,Pneumonia,48
2019,F,65-74,Black Non Hispanic,Cerebrovascular Disease,74
2019,F,65-74,Black Non Hispanic,CLRD,83
2019,F,65-74,Black Non Hispanic,Diseases of the Heart,574
2019,F,65-74,Black Non Hispanic,All Other Causes,625
2019,F,65-74,Black Non Hispanic,Malignant Neoplasms,680
2019,F,65-74,Black Non Hispanic,Total,2163
2019,F,65-74,Hispanic,AIDS,7
2019,F,65-74,Hispanic,Diabetes Mellitus,12
2019,F,65-74,Hispanic,Pneumonia,29
2019,F,65-74,Hispanic,Accidents,35
2019,F,65-74,Hispanic,CLRD,42
2019,F,65-74,Hispanic,Cerebrovascular Disease,47
2019,F,65-74,Hispanic,Diseases of the Heart,266
2019,F,65-74,Hispanic,All Other Causes,356
2019,F,65-74,Hispanic,Malignant Neoplasms,384
2019,F,65-74,Hispanic,Total,1178
2019,F,65-74,Not Stated,Diabetes Mellitus,4
2019,F,65-74,Not Stated,Pneumonia,5
2019,F,65-74,Not Stated,Accidents,6
2019,F,65-74,Not Stated,CLRD,9
2019,F,65-74,Not Stated,Cerebrovascular Disease,17
2019,F,65-74,Not Stated,Diseases of the Heart,56
2019,F,65-74,Not Stated,All Other Causes,71
2019,F,65-74,Not Stated,Malignant Neoplasms,87
2019,F,65-74,Not Stated,Total,255
2019,F,65-74,Other Non Hispanic,Diabetes Mellitus,2
2019,F,65-74,Other Non Hispanic,Pneumonia,7
2019,F,65-74,Other Non Hispanic,CLRD,8
2019,F,65-74,Other Non Hispanic,Accidents,12
2019,F,65-74,Other Non Hispanic,Cerebrovascular Disease,24
2019,F,65-74,Other Non Hispanic,Diseases of the Heart,91
2019,F,65-74,Other Non Hispanic,All Other Causes,114
2019,F,65-74,Other Non Hispanic,Malignant Neoplasms,174
2019,F,65-74,Other Non Hispanic,Total,432
2019,F,65-74,White Non Hispanic,AIDS,3
2019,F,65-74,White Non Hispanic,Diabetes Mellitus,74
2019,F,65-74,White Non Hispanic,Accidents,156
2019,F,65-74,White Non Hispanic,Pneumonia,165
2019,F,65-74,White Non Hispanic,Cerebrovascular Disease,266
2019,F,65-74,White Non Hispanic,CLRD,613
2019,F,65-74,White Non Hispanic,Diseases of the Heart,1559
2019,F,65-74,White Non Hispanic,All Other Causes,2285
2019,F,65-74,White Non Hispanic,Malignant Neoplasms,2984
2019,F,65-74,White Non Hispanic,Total,8105
2019,F,75-84,Black Non Hispanic,AIDS,2
2019,F,75-84,Black Non Hispanic,Accidents,22
2019,F,75-84,Black Non Hispanic,Diabetes Mellitus,26
2019,F,75-84,Black Non Hispanic,Pneumonia,73
2019,F,75-84,Black Non Hispanic,CLRD,94
2019,F,75-84,Black Non Hispanic,Cerebrovascular Disease,119
2019,F,75-84,Black Non Hispanic,Malignant Neoplasms,555
2019,F,75-84,Black Non Hispanic,All Other Causes,820
2019,F,75-84,Black Non Hispanic,Diseases of the Heart,853
2019,F,75-84,Black Non Hispanic,Total,2564
2019,F,75-84,Hispanic,AIDS,2
2019,F,75-84,Hispanic,Diabetes Mellitus,13
2019,F,75-84,Hispanic,Accidents,31
2019,F,75-84,Hispanic,Pneumonia,37
2019,F,75-84,Hispanic,CLRD,64
2019,F,75-84,Hispanic,Cerebrovascular Disease,98
2019,F,75-84,Hispanic,Malignant Neoplasms,368
2019,F,75-84,Hispanic,Diseases of the Heart,484
2019,F,75-84,Hispanic,All Other Causes,602
2019,F,75-84,Hispanic,Total,1699
2019,F,75-84,Not Stated,Accidents,1
2019,F,75-84,Not Stated,Diabetes Mellitus,5
2019,F,75-84,Not Stated,Pneumonia,8
2019,F,75-84,Not Stated,CLRD,16
2019,F,75-84,Not Stated,Cerebrovascular Disease,20
2019,F,75-84,Not Stated,Malignant Neoplasms,73
2019,F,75-84,Not Stated,Diseases of the Heart,99
2019,F,75-84,Not Stated,All Other Causes,101
2019,F,75-84,Not Stated,Total,323
2019,F,75-84,Other Non Hispanic,Diabetes Mellitus,4
2019,F,75-84,Other Non Hispanic,CLRD,17
2019,F,75-84,Other Non Hispanic,Accidents,23
2019,F,75-84,Other Non Hispanic,Pneumonia,26
2019,F,75-84,Other Non Hispanic,Cerebrovascular Disease,38
2019,F,75-84,Other Non Hispanic,Malignant Neoplasms,143
2019,F,75-84,Other Non Hispanic,Diseases of the Heart,191
2019,F,75-84,Other Non Hispanic,All Other Causes,209
2019,F,75-84,Other Non Hispanic,Total,651
2019,F,75-84,White Non Hispanic,Diabetes Mellitus,71
2019,F,75-84,White Non Hispanic,Accidents,216
2019,F,75-84,White Non Hispanic,Pneumonia,294
2019,F,75-84,White Non Hispanic,Cerebrovascular Disease,616
2019,F,75-84,White Non Hispanic,CLRD,1018
2019,F,75-84,White Non Hispanic,Diseases of the Heart,3079
2019,F,75-84,White Non Hispanic,Malignant Neoplasms,3234
2019,F,75-84,White Non Hispanic,All Other Causes,4512
2019,F,75-84,White Non Hispanic,Total,13040
2019,F,85+,Black Non Hispanic,Diabetes Mellitus,26
2019,F,85+,Black Non Hispanic,Accidents,30
2019,F,85+,Black Non Hispanic,CLRD,85
2019,F,85+,Black Non Hispanic,Pneumonia,88
2019,F,85+,Black Non Hispanic,Cerebrovascular Disease,176
2019,F,85+,Black Non Hispanic,Malignant Neoplasms,359
2019,F,85+,Black Non Hispanic,All Other Causes,1191
2019,F,85+,Black Non Hispanic,Diseases of the Heart,1277
2019,F,85+,Black Non Hispanic,Total,3232
2019,F,85+,Hispanic,AIDS,1
2019,F,85+,Hispanic,Diabetes Mellitus,19
2019,F,85+,Hispanic,Accidents,25
2019,F,85+,Hispanic,Pneumonia,75
2019,F,85+,Hispanic,CLRD,85
2019,F,85+,Hispanic,Cerebrovascular Disease,160
2019,F,85+,Hispanic,Malignant Neoplasms,263
2019,F,85+,Hispanic,Diseases of the Heart,904
